,accruals,age,aturnover,betaarb,cfp,ciss,debtiss,divp,dur,ep,fscore,gltnoa,gmargins,growth,igrowth,indmom,indmomrev,indrrev,indrrevlv,inv,invcap,ivol,lev,lrrev,mom,mom12,momrev,nissa,nissm,noa,price,prof,repurch,roa,roaa,roe,roea,rome,season,sgrowth,shortint,shvol,size,sp,strev,sue,valmom,valmomprof,valprof,value,valuem
PC1,0.07512823053508423,0.04383159617725341,-0.022506624287758514,0.11383813802717926,0.22563566570637725,0.060261828096769596,0.055887667890311354,0.19105825072848806,0.2215051674146547,0.12030641573629446,-0.1028714534299601,-0.07134242172352223,-0.17816595640116561,0.18906231954446048,0.12313761797431179,-0.034436993433520205,-0.008594121791800401,0.10190998185353983,0.10461068769714274,0.15502964135546937,0.0833034293054114,-0.1232024630191484,0.2011967418717362,0.20788830183250767,-0.06596061106124505,-0.08260756057733674,0.16141981112339196,0.040185453321754466,0.012849973984580897,-0.0461696668719917,-0.19577722431931918,-0.17531312970743573,-0.034128171070479246,-0.20981117051916068,-0.1965105088469188,-0.19967745576772902,-0.20616279335924292,0.020563985308715494,-0.03949791641901667,0.1516835688013254,0.04035323524471543,0.04314782328057224,0.1686274267240174,0.2401743240053159,0.06920720027115704,-0.10375185738605326,0.13249092059560838,0.06481252551134954,0.16130198893883566,0.24146583424701987,0.2405919004014473
PC2,-0.13904613097819024,0.21398783842323232,0.16836982390015154,-0.1422772915860011,-0.12296441719859647,-0.24563456635678613,0.20640186241803593,-0.14081614747286908,-0.059415997894799955,-0.127760546152442,-0.07526854465066035,-0.02338054334906745,0.03526317560753676,-0.09387613111879956,-0.12775854185659588,-0.19268523701526047,-0.1524294490030892,0.18167241847286292,0.14511896428633148,-0.13424753542807571,-0.2511019427178369,-0.20648612682213938,-0.029060687592864266,0.07708102318570165,-0.2016100686307976,-0.19246121229038446,0.09760754335115686,-0.15881727109873411,-0.14044669800333823,-0.004729204076279403,-0.18711931356729797,0.07987018628709523,-0.22889309463714638,-0.08490408157182806,-0.07969444054062909,-0.07988313763793352,-0.042254956381305955,-0.12325780129971302,-0.019704524513189357,-0.11950948088646197,-0.122745836630199,-0.1287675815175865,0.1742122676683817,0.012801709654433002,0.1777317445200178,-0.05171015224157475,-0.2217450570668377,-0.1300983952366961,0.03776223055918071,-0.0881872336835005,0.041776878642321325
PC3,-0.02460609336433898,-0.2759677792797457,-0.07778595716561497,0.08337395914228131,-0.01952870483434388,0.11141416039050511,-0.11854914956800644,0.10593602185981427,-0.04760731152762178,0.01454637575977203,-0.003223632488773361,-0.1498952360203222,0.12111312753110069,-0.006272103704776201,-0.006811572740516634,-0.25756820181610013,-0.18532437252954545,0.14510269478692087,0.13843848091526606,-0.01707509207493334,0.05539477331866372,0.21567971662365726,-0.020602277098005602,0.04041399357191637,-0.29125014668684684,-0.28050564172545067,0.10582280616666548,0.12554302754102836,0.1252903472845226,0.06100955126101763,0.10691734694870494,-0.005407324132301151,0.12498346650178144,-0.042254573271683936,0.08091071892764536,-0.03231450756733854,0.12292964988722699,-0.09625204611157616,0.012516101558998944,0.049252865101299906,0.2408320396624164,0.27617610756785643,-0.20179454615398143,-0.07647605226609426,0.18283049513939928,-0.20831085051019704,-0.21463257818941303,-0.23204233873591035,-0.008988522504082278,-0.035630384608653975,0.08590795749744831
PC4,0.10073361593625893,0.08388379842088386,-0.2725089040358485,0.16268727419127377,-0.06338484162891012,-0.13710485610246903,0.004337264983819505,0.010004901342906825,-0.062023478897199835,0.025863700496339695,0.08481706552474408,0.16029606630520862,-0.12123676349023352,-0.05179490056907523,-0.01314457246585917,0.01025262209867026,0.0699711199189177,0.0895905408795973,0.08466015007806167,-0.07449972967032926,0.21152594242941444,0.006059174508579909,0.15862609937275612,-0.1318829686029075,-0.017082272924053923,-0.004609124332197544,-0.10355999939165551,-0.34216666534127654,-0.270225655626686,-0.2995508625671367,0.01193210992120442,-0.326195333902958,-0.09636527889544712,-0.045748066077261555,-0.12803221114107904,0.029658757472994457,-0.019210884028205023,0.13647957977213637,-0.03518980889048889,-0.0990580768729412,0.21983036141361179,0.17315775520292825,-0.011324576513480279,-0.05374458484124049,0.07180580650594025,0.09504773246019126,-0.01708926046355177,-0.24730227910868255,-0.27404286633656777,-0.049067054187385994,-0.02301586047517109
PC5,0.020530910553649532,0.04666980327881977,0.10548295271035618,-0.11860114502874747,0.12662564739195686,-0.04491872258486165,-0.02512939980493134,-0.02645552304480152,-0.03654102275991389,0.38185671162035406,0.32506784226882707,0.14653088638134573,-0.07283082770642858,-0.14686612378924124,-0.11261224372866341,-0.07450126332624106,-0.08289033873234512,0.18351931853630138,0.08214564118260038,-0.10583140460612823,0.05931732940473912,-0.12094796188440189,0.026676132600749015,-0.014000580043111697,-0.03960509596785291,-0.01697951605937186,-0.04930693790145274,0.1293533211900823,0.26231565550069913,-0.16858856978341652,-0.09583098547060105,0.006039853426912273,0.2041794805647654,0.10467132568922212,0.11825758321576776,0.15765525952197626,0.11294446627125672,0.38662991376683525,0.12608854264924102,-0.29447156885598985,-0.04898143738796131,-0.07719544724327229,0.065797634592905,0.0838296878087035,0.11698362012541111,-0.06445147777693237,0.03348588976374991,0.013730450317848602,0.07442781101791351,0.05862690571430898,0.15564806647287827
