date,accruals,age,aturnover,betaarb,cfp,ciss,debtiss,divp,dur,ep,fscore,gltnoa,gmargins,growth,igrowth,indmom,indmomrev,indrrev,indrrevlv,inv,invcap,ivol,lev,lrrev,mom,mom12,momrev,nissa,nissm,noa,price,prof,repurch,roa,roaa,roe,roea,rome,season,sgrowth,shortint,shvol,size,sp,strev,sue,valmom,valmomprof,valprof,value,valuem
11/1/1974,-0.002749647,0.014730025,-0.015675237,0.013443004,0.004784345,0.004661338,0.01556011,-0.016606589,0.001398307,-0.010478198,-0.00872908,0.005186446,0.002622765,0.026091547,0.002253294,0.048094108,-0.01620277,-0.012216792,0.001098277,0.011519935,0.027821403,0.01665422,0.013829702,-0.02117219,0.014405698,-0.00609833,-0.024608963,0.010707303,0.010593594,-0.025383761,0.029516213,-0.03146598,-0.003957904,0.044197021,-0.02097408,0.039831574,0.006669483,0.050355144,0.008627481,0.034837428,-0.029372532,-0.037391221,-0.013846909,-0.018091193,-0.032409815,0.019085325,0.003156059,-0.005002535,-0.024123548,-0.018555989,-0.022657793
12/1/1974,0.038909219,-0.030592215,-0.04887561,0.033924469,-0.009744502,0.044091438,-0.023319659,0.036032223,0.029461419,0.014635258,0.015836822,0.011517644,0.003694691,0.002533037,0.010615852,0.041877756,0.054705027,-0.005151064,0.018538364,0.027802539,0.007505166,0.112466115,-0.012768873,-0.07100064,0.032189543,0.013922269,-0.039127055,0.002850927,0.000868048,0.004001963,0.086991431,-0.005216539,0.010905938,0.017711001,0.013861345,-0.031253837,0.024382369,-3.38E-05,0.049567134,0.035792404,0.096869802,0.043335784,-0.06466976,-0.041013123,-0.01379609,0.076153429,0.011509728,0.00518019,-0.037482192,-0.041457326,-0.029176294
1/1/1975,0.027306719,0.05356679,0.085969745,-0.047344836,0.157579471,-0.086535344,0.015745673,0.154401888,0.126399818,0.178645377,-0.0231163,-0.045369926,-0.100946198,0.066231236,0.062792717,-0.158353619,-0.011398564,0.26693964,0.237137431,0.053358448,0.012360797,-0.233518379,0.177420984,0.324764396,-0.258660591,-0.195345462,0.217774179,0.022816028,0.019598546,-0.045597921,-0.353542699,-0.114461896,-0.006891169,-0.141260809,-0.137723526,-0.058951577,-0.124704054,0.087137059,0.137496028,-0.002796331,0.009754416,0.062798532,0.166744481,0.224411267,0.262255556,-0.189833393,0.025893381,-0.003434703,0.20897013,0.210823929,0.402858207
2/1/1975,-0.024398875,-0.018158217,0.005596614,-0.068194434,-0.107719747,-0.057893009,-0.004019136,-0.088630656,-0.106273429,-0.123679223,0.03477153,0.016069494,0.113945696,-0.051832549,0.004306681,-0.087617815,-0.036422455,0.031654585,0.03254389,-0.037150053,-0.07803933,0.0110188,-0.144781293,0.017362932,-0.069840142,-0.028618799,0.030047607,-0.000990398,0.006984747,0.06695327,0.018852005,0.109337828,-0.012839472,0.081586125,0.135064746,-0.018322178,0.034984738,-0.010141652,0.006503246,-0.038665142,-0.067092025,-0.052067727,-0.026163975,-0.081211445,0.068334408,0.032519464,-0.087537392,-0.071667095,-0.0243146,-0.085575223,-0.074550854
3/1/1975,0.005052827,0.019016919,0.109949665,-0.092778536,0.022024711,-0.048809583,0.014603016,0.010187227,0.080826577,0.05909359,-0.032237295,-0.016181625,-0.079128943,-0.021495251,0.004453252,-0.067658487,-0.007962932,0.084933687,0.030887011,0.017399605,0.008518058,-0.100287315,0.001955301,0.147789439,0.01014793,-0.005097774,0.07082998,-0.002626959,0.062838281,0.007515571,-0.128949124,0.032751522,0.006418203,-0.053747932,0.004875585,-0.054781595,0.005214127,0.04757035,0.016840821,-0.004404652,-0.083813571,-0.087874856,0.063993573,0.072757435,0.056227151,0.029469646,0.025640035,0.036922641,0.080317446,0.015288086,0.053488853
4/1/1975,-0.020878911,-0.005862076,0.050051682,-0.123052563,-0.018982472,-0.004165113,0.0053158,-0.041579919,0.010170762,-0.039200362,0.020467785,0.010012775,-0.033061458,-0.048673717,-0.02823557,0.060293215,-0.030722109,0.035180356,0.018153516,-0.028611786,-0.002825809,0.036461059,-0.024760102,-0.049510137,-0.066710808,0.032569331,-0.041057385,0.034444982,0.026094749,0.001441367,0.048012624,0.005385325,0.015039523,0.071602161,0.005410301,0.049352448,0.005705102,0.056698487,0.03803221,-0.08801893,-0.106383715,-0.0964449,-0.017165656,-0.032857435,0.017690763,0.081394794,-0.00991841,-0.053123357,-0.041625589,0.003908377,0.001798236
5/1/1975,-0.012350791,0.008664468,-0.020249102,-0.004270386,-0.003384556,-0.017572022,0.001351431,-0.013241631,-0.031820719,0.001725869,-0.018319407,-0.02101617,-0.010667986,0.002820408,0.011030976,0.000330704,-0.020756087,0.067049451,0.057914123,0.014323105,-0.024680776,-0.036285761,-0.011697725,0.027636791,0.01570703,-0.001115872,0.028288599,0.015858007,-0.018852916,-0.029093705,-0.049100813,-0.007586133,0.021218121,-0.013372497,0.005416022,0.00192871,0.002360123,0.015326452,-0.002627805,0.050442426,0.039632751,-0.002890179,0.026264387,-0.000184249,0.091348082,-0.014078624,0.003017539,-0.027032554,-0.012490235,-0.001876549,-0.005375449
6/1/1975,0.021475268,0.004349659,-0.013149315,0.006145104,0.034189379,0.020744648,0.004025323,0.065061168,0.06006353,0.049199588,-0.027135614,-0.004932486,-0.073131724,0.02721452,0.020988032,0.060134776,0.032012109,0.071885665,0.065421473,0.056746755,0.045123472,-0.022907821,0.055129373,0.029664937,0.005054373,-0.009655916,0.042003111,0.018926971,-0.009404218,-0.051022433,-0.04522296,-0.082094887,0.008146502,-0.065849909,-0.054593555,-0.056937736,-0.030746477,-0.01588801,-0.058295927,0.017508216,-0.002375513,-0.015119038,0.033045844,0.052155165,0.057109861,0.021971446,0.051541685,-0.002827611,-0.005602547,0.017650101,0.058794834
7/1/1975,0.051103381,0.019549106,0.002238384,0.059899437,0.065026935,0.050594047,-0.004609795,0.082715956,0.048499007,0.057975843,0.021838247,0.017260762,-0.073438757,0.029942869,-0.00909501,-0.014407208,0.00314045,0.028366441,0.013451727,0.029644255,0.027679487,-0.016548855,0.034769316,0.040861351,-0.019114338,0.040841245,-0.031172376,0.014103254,0.013964839,-0.031448843,-0.069502421,-0.039075885,0.004372139,-0.069293148,-0.012362246,-0.063574349,-0.029853332,-0.010695921,-0.001979173,0.046614597,0.039374657,0.033479582,0.077211885,0.077880873,-0.001189023,0.025592223,0.026231591,-0.015921651,0.021827814,0.049405764,0.059410119
8/1/1975,0.014295127,-0.035247,0.004553919,0.018843063,-0.027116262,0.009171539,-0.018793973,0.005450679,0.006995374,-0.008449958,0.023891074,0.01752589,-0.002012781,-0.029061735,-0.052081641,0.023480262,0.015202663,0.015894989,0.029960198,0.01309096,-0.015824896,0.053177005,-0.03696479,-0.023734372,0.002152567,0.019608868,-0.041980057,-0.011120184,-0.012151277,0.001123589,0.052256165,-0.013920612,0.015253337,0.044263525,0.035388711,0.046446311,0.041809207,0.011708671,0.025118228,-0.026605711,0.003996802,0.007884618,-0.042493117,-0.031292854,0.026152474,-0.012928233,-0.027439004,-0.005974934,-0.01526011,-0.042290101,-0.020484782
9/1/1975,0.030950765,-0.030362823,-0.020531351,0.036393295,0.012420805,0.023134752,-0.021924575,0.057228097,0.013916228,0.013350972,0.000250465,0.027032025,-0.01004241,-0.028305955,0.01090541,0.025791839,0.017134143,-0.000921288,0.01426917,0.012359237,0.006889569,0.034462371,-0.041958461,-0.011952818,0.026881162,0.049853738,-0.028813909,-0.013535123,-0.018194834,0.012043536,0.027730772,-0.014466341,-0.006027789,0.026389088,0.059360129,0.001820765,0.000571356,0.058021866,0.005033522,-0.011577037,0.041016409,0.0131647,0.004453988,0.001578778,-0.003525922,0.061792751,0.003075115,0.004908549,0.010149278,-0.001892013,0.014918882
10/1/1975,-0.080332569,-0.026824974,0.010785335,-0.018097658,-0.048691696,-0.015177245,-0.014001335,0.046776907,-0.037423854,-0.080425922,-0.041191144,-0.072602682,0.036986369,0.016162958,0.023716004,-0.1021827,-0.024219833,0.005589988,0.009355249,0.001630878,-0.002829811,0.074538246,-0.056758305,0.027188563,-0.067503029,0.00838048,0.00733852,-0.005045946,-0.005021888,0.02807962,0.068958927,0.031469879,-0.009028196,0.069498375,0.046921136,0.055141469,0.027641491,-0.039329592,-0.016421386,0.074779403,0.021771196,0.034112037,-0.059606661,-0.074737027,0.024718306,0.075779216,-0.054198276,0.023729089,0.033828026,-0.072011748,-0.061751758
11/1/1975,-0.02883935,-0.004269372,-0.012231177,-0.007426009,0.005770222,0.007281276,0.010339514,0.035298803,0.007596544,-0.014511009,-0.029445831,-0.043115039,0.031605752,0.008581286,0.050517293,0.015114293,0.000540308,-0.020565445,-0.011548715,0.006225213,0.004623726,0.022811616,-0.004876102,0.026960433,-0.030232575,-0.016138473,0.03091723,-0.002474073,-0.003033216,0.0256924,0.021856329,0.019559128,-0.012240145,0.010578626,0.016736517,0.034904628,0.006787187,0.053660892,-0.008200392,0.042815126,-0.012029761,0.022150725,-0.014261261,-0.008655469,-0.011281159,-0.01419652,-0.021967748,0.030534081,0.045378528,0.010473278,0.005558283
12/1/1975,0.039288798,-0.003186149,-0.010721641,0.00865046,0.051039711,0.019035786,-0.008942529,0.035074346,0.028504454,0.049079454,0.019793241,0.02961753,-0.036946197,-0.005914963,-0.024889515,0.002915042,0.0176492,0.046055263,0.029325503,0.034078719,-0.012552192,-0.009486062,0.040418152,-0.021912371,-0.00327643,0.003110455,-0.01403076,0.000954148,0.001054312,-0.032752274,-0.019550638,-0.047587499,-0.003189155,-0.027407638,-0.046187844,-0.032660343,-0.040179053,-0.004599213,0.023991743,0.001329466,0.011679478,-0.007736169,0.001786946,0.021646905,0.045635363,-0.01153205,0.041802314,-0.008973444,-0.013598961,0.040387326,0.03955987
1/1/1976,0.005696667,0.012273072,0.015225583,-0.081424753,0.13656148,0.061213441,0.001720809,-0.010079558,0.051496747,0.125971339,0.049242442,0.043077709,-0.015534469,0.063719458,0.035376394,-0.064050643,-0.013361953,0.021260582,-7.22E-05,0.083732773,-0.003664781,-0.094866846,0.038822068,0.156097833,-0.059137474,0.091782413,0.099605878,0.082806437,0.089165576,0.030640991,-0.13557715,0.018592578,0.008317351,-0.062451826,-0.030172795,-0.065427275,-0.095982524,0.026046951,0.157573801,0.051598055,-0.072438992,-0.083332668,0.087066497,0.113425575,-0.024090359,-0.071384038,0.040773133,0.047754836,0.133944004,0.146458469,0.152655148
2/1/1976,0.068561352,0.047626497,0.047706411,0.003665477,0.133731654,0.010384372,0.017885033,0.059222454,0.069224849,0.124026226,0.024772293,0.012879304,-0.058914777,0.089212687,0.045069085,-0.029125381,0.04174152,-0.057457365,0.003952999,0.074599331,0.010740056,-0.143994979,0.074150611,0.148376911,0.03448444,0.018931478,0.058228664,0.080705798,0.043745149,0.002313805,-0.184036825,0.004710727,0.003303109,-0.027657446,-0.055193006,-0.048690344,-0.11614263,0.047736252,-0.044555019,0.083163799,-0.047364483,-0.036412882,0.138340184,0.178630919,-0.107749544,0.000752477,0.077412341,0.08287353,0.10647588,0.158586193,0.164553502
3/1/1976,-0.016817097,-0.023827387,0.000716528,0.001183047,-0.058605846,-0.004312301,-0.005011578,0.030807833,-0.049164178,-0.038340297,-0.030190972,-0.005447537,-0.00631385,0.018312547,0.00514318,-0.054813798,0.006957368,0.046701971,0.055520682,-0.009447714,0.005900485,0.023034125,0.015572308,-0.003724832,-0.01543071,0.001268476,-0.005140458,0.024561803,-0.003929721,-0.012242006,0.021924826,0.014158865,0.007286237,0.003312404,-0.020845905,0.030971462,-0.023204333,-0.021238404,-0.023324733,-0.00606134,0.028582046,0.024272323,-0.021078952,0.013011408,0.054994889,-0.009165678,-0.025551062,-0.007738341,-0.012704949,-6.04E-05,-0.011157532
4/1/1976,0.01823074,-0.002070233,-0.030143617,0.050961378,0.029771941,0.044436211,-0.01519184,0.033472639,0.031929145,0.02208278,0.004630808,0.036625305,-0.045017427,-0.009241914,-0.021177379,-0.013768229,0.000706539,0.013212777,0.015473028,0.000979292,0.020312782,0.029524262,0.022223724,-0.060222337,-0.014831478,0.006236794,0.019477422,-0.008798127,-0.012263678,-0.02176166,0.016947372,-0.043593045,0.002879806,-0.022750997,-0.020586475,-0.009863789,0.000288282,0.010280573,0.008975572,-0.008227276,0.070278007,0.053582451,-0.000902028,0.002589061,0.003979738,-0.005155329,-0.004634507,-0.034123817,-0.034651303,0.017213296,0.026937707
5/1/1976,0.037937932,-0.009148881,-0.007446259,0.010722784,0.007706,0.011768732,-0.008807877,-0.015085939,0.006689264,0.027497441,0.011460007,0.038430431,-0.012205183,-0.003990505,-0.017781638,0.006552585,-0.001712023,0.014244415,0.0231745,0.000314396,-0.010495383,0.008018111,-0.00323021,-0.02680302,-0.073666101,-0.025568922,0.003028544,-0.001809562,0.00580057,0.011416027,0.032390028,0.003350183,0.005326499,0.012989539,0.010013691,0.011827037,0.017759498,0.025471771,0.008459499,-0.053036708,-0.014040442,0.006392031,-0.020579693,-0.027320462,-0.025890496,0.000270089,-0.045009351,-0.06670227,-0.060015974,-0.000261632,0.016692463
